gridX,gridY,lat,lng,distance_km,keyword,maps_url,position_observed,date
1,1,44.7254,-0.79521,17,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.7254,-0.79521,14z",,
2,1,44.7254,-0.7192,13.4,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.7254,-0.7192,14z",,
3,1,44.7254,-0.6432,12,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.7254,-0.6432,14z",,
4,1,44.7254,-0.5672,13.4,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.7254,-0.5672,14z",,
5,1,44.7254,-0.49119,17,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.7254,-0.49119,14z",,
1,2,44.7793,-0.79521,13.4,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.7793,-0.79521,14z",,
2,2,44.7793,-0.7192,8.5,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.7793,-0.7192,14z",,
3,2,44.7793,-0.6432,6,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.7793,-0.6432,14z",,
4,2,44.7793,-0.5672,8.5,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.7793,-0.5672,14z",,
5,2,44.7793,-0.49119,13.4,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.7793,-0.49119,14z",,
1,3,44.8332,-0.79521,12,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.8332,-0.79521,14z",,
2,3,44.8332,-0.7192,6,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.8332,-0.7192,14z",,
3,3,44.8332,-0.6432,0,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.8332,-0.6432,14z",,
4,3,44.8332,-0.5672,6,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.8332,-0.5672,14z",,
5,3,44.8332,-0.49119,12,"couvreur bordeaux","https://www.google.com/maps/search/couvreur%20bordeaux/@44.8332,-0.49119,14z",,
